Pipe NPS,Actual Outside Diameter (in),Pipe Schedule,Wall Thickness (in),Weight (lb/ft),Weight (kg/m)
24,24,8 Ga.,0.164,42,62.503
,,,,,
24,24,6 Ga.,0.194,49,72.92
,,,,,
24,24,3 Ga.,0.239,61,90.778
,,,,,
24,24,10,0.25,63,93.754
,,,,,
24,24,API,0.281,71,105.66
,,,,,
24,24,API,0.312,79,117.565
,,,,,
24,24,API,0.344,87,129.47
,,,,,
24,24,Std.,0.375,95,141.376
,,,,,
24,24,API,0.406,102,151.793
,,,,,
24,24,API,0.438,110,163.698
,,,,,
24,24,X-Stg.,0.5,125,186.021
,,,,,
24,24,30,0.562,141,209.831
,,,,,
24,24,--,0.625,156,232.154
,,,,,
24,24,40,0.688,171,254.476
,,,,,
24,24,--,0.75,186,276.799
,,,,,
24,24,--,0.875,216,321.443
,,,,,
24,24,60,0.969,238,354.183
,,,,,
24,24,--,1,246,366.088
,,,,,
24,24,--,1.125,275,409.245
,,,,,
24,24,80,1.219,297,441.985
,,,,,
24,24,--,1.25,304,452.402
,,,,,
24,24,--,1.375,332,494.07
,,,,,
24,24,--,1.5,361,537.227
,,,,,
24,24,100,1.531,367,546.156
,,,,,
24,24,120,1.812,429,638.422
,,,,,
24,24,140,2.062,484,720.271
,,,,,
24,24,160,2.344,542,806.585
,,,,,
 , , , , , 
,,,,,
26,26,8 Ga.,0.164,45,66.967
,,,,,
26,26,6 Ga.,0.194,54,80.361
,,,,,
26,26,3 Ga.,0.239,66,98.219
,,,,,
26,26,API,0.25,67,99.707
,,,,,
26,26,API,0.281,77,114.589
,,,,,
26,26,API,0.312,84,125.006
,,,,,
26,26,API,0.344,94,139.887
,,,,,
26,26,API,0.375,103,153.281
,,,,,
26,26,API,0.406,111,165.186
,,,,,
26,26,API,0.438,120,178.58
,,,,,
26,26,API,0.5,136,202.39
,,,,,
26,26,--,0.625,169,251.5
,,,,,
26,26,--,0.75,202,300.609
,,,,,
26,26,--,0.875,235,349.719
,,,,,
26,26,--,1,267,397.34
,,,,,
26,26,--,1.125,299,444.961
,,,,,
26,26,--,1.375,362,538.715
,,,,,
26,26,--,1.5,393,584.848
,,,,,
 , , , , , 
,,,,,
30,30,8 Ga.,0.164,52,77.385
,,,,,
30,30,6 Ga.,0.194,62,92.266
,,,,,
30,30,3 Ga.,0.239,76,113.1
,,,,,
30,30,API,0.25,79,117.565
,,,,,
30,30,API,0.281,89,132.447
,,,,,
30,30,10,0.312,99,147.328
,,,,,
30,30,API,0.344,109,162.21
,,,,,
30,30,API,0.375,119,177.092
,,,,,
30,30,API,0.406,130,193.461
,,,,,
30,30,API,0.438,138,205.367
,,,,,
30,30,20,0.5,158,235.13
,,,,,
30,30,30,0.625,196,291.68
,,,,,
30,30,--,0.75,234,348.23
,,,,,
30,30,--,0.875,272,404.781
,,,,,
30,30,--,1,310,461.331
,,,,,
30,30,--,1.125,347,516.393
,,,,,
30,30,--,1.25,384,571.455
,,,,,
30,30,--,1.375,421,626.517
,,,,,
30,30,--,1.5,457,680.091
,,,,,
 , , , , , 
,,,,,
32,32,API,0.25,85,126.494
,,,,,
32,32,API,0.281,95,141.376
,,,,,
32,32,API,0.312,106,157.745
,,,,,
32,32,API,0.344,116,172.627
,,,,,
32,32,API,0.375,127,188.997
,,,,,
32,32,API,0.406,137,203.878
,,,,,
32,32,API,0.438,148,220.248
,,,,,
32,32,API,0.5,168,250.012
,,,,,
32,32,--,0.625,209,311.026
,,,,,
32,32,--,0.75,250,372.041
,,,,,
32,32,--,0.875,291,433.056
,,,,,
32,32,--,1,331,492.582
,,,,,
32,32,--,1.125,371,552.109
,,,,,
32,32,--,1.25,410,610.147
,,,,,
32,32,--,1.375,450,669.674
,,,,,
32,32,--,1.5,489,727.712
,,,,,
 , , , , , 
,,,,,
34,34,API,0.25,90,133.935
,,,,,
34,34,API,0.281,101,150.305
,,,,,
34,34,API,0.312,112,166.674
,,,,,
34,34,API,0.344,124,184.532
,,,,,
34,34,API,0.375,135,200.902
,,,,,
34,34,API,0.406,146,217.272
,,,,,
34,34,API,0.438,157,233.642
,,,,,
34,34,API,0.5,179,266.381
,,,,,
34,34,--,0.625,223,331.861
,,,,,
34,34,--,0.75,266,395.852
,,,,,
34,34,--,0.875,308,458.355
,,,,,
34,34,--,1,353,525.322
,,,,,
34,34,--,1.125,395,587.825
,,,,,
34,34,--,1.25,437,650.328
,,,,,
34,34,--,1.375,479,712.831
,,,,,
34,34,--,1.5,521,775.333
,,,,,
 , , , , , 
,,,,,
36,36,--,0.164,63,93.754
,,,,,
36,36,--,0.194,74,110.124
,,,,,
36,36,--,0.239,91,135.423
,,,,,
36,36,API,0.25,96,142.864
,,,,,
36,36,API,0.281,107,159.234
,,,,,
36,36,API,0.312,119,177.092
,,,,,
36,36,API,0.344,131,194.949
,,,,,
36,36,API,0.375,143,212.807
,,,,,
36,36,API,0.406,154,229.177
,,,,,
36,36,API,0.438,166,247.035
,,,,,
36,36,API,0.5,190,282.751
,,,,,
36,36,--,0.625,236,351.207
,,,,,
36,36,--,0.75,282,419.662
,,,,,
36,36,--,0.875,329,489.606
,,,,,
36,36,--,1,374,556.573
,,,,,
36,36,--,1.125,419,623.541
,,,,,
36,36,--,1.25,464,690.508
,,,,,
36,36,--,1.375,509,757.475
,,,,,
36,36,--,1.5,553,822.955
,,,,,
 , , , , , 
,,,,,
42,42,--,0.25,112,166.674
,,,,,
42,42,--,0.375,167,248.523
,,,,,
42,42,--,0.5,222,330.372
,,,,,
42,42,--,0.625,276,410.733
,,,,,
42,42,--,0.75,331,492.582
,,,,,
42,42,--,0.875,385,572.943
,,,,,
42,42,--,1,438,651.816
,,,,,
42,42,--,1.125,492,732.177
,,,,,
42,42,--,1.25,544,809.561
,,,,,
42,42,--,1.375,597,888.434
,,,,,
42,42,--,1.5,649,965.818
,,,,,
 , , , , , 
